Problem:    floorplan
Rows:       729
Columns:    370 (370 integer, 343 binary)
Non-zeros:  2536
Status:     INTEGER NON-OPTIMAL
Objective:  obj = 6 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 obj                         6                             
     2 check1[1]                   0                          22 
     3 check1[2]                   1                          22 
     4 check1[3]                   4                          22 
     5 check1[4]                   5                          22 
     6 check1[5]                   6                          22 
     7 check1[6]                   9                          20 
     8 check1[7]                  12                          22 
     9 check1[8]                  13                          22 
    10 check1[9]                   1                          22 
    11 check1[10]                  5                          20 
    12 check1[11]                 11                          20 
    13 check1[12]                 17                          20 
    14 check1[13]                 20                          20 
    15 check2[1]                  -6                          -1 
    16 check2[2]                  -6                          -1 
    17 check2[3]                  -6                          -1 
    18 check2[4]                  -6                          -1 
    19 check2[5]                  -6                          -1 
    20 check2[6]                  -8                          -5 
    21 check2[7]                  -6                          -1 
    22 check2[8]                  -6                          -1 
    23 check2[9]                  -3                          -1 
    24 check2[10]                 -6                          -6 
    25 check2[11]                 -6                          -6 
    26 check2[12]                 -9                          -6 
    27 check2[13]                 -6                          -5 
    28 check3[1,1]                 0                          -0 
    29 check3[1,2]                -1                          -1 
    30 check3[1,3]                -4                          -1 
    31 check3[1,4]                -5                          -1 
    32 check3[1,5]                -6                          -1 
    33 check3[1,6]                -7                          -1 
    34 check3[1,7]               -12                          -1 
    35 check3[1,8]               -13                          -1 
    36 check3[1,9]                -1                          -1 
    37 check3[1,10]               -2                          -1 
    38 check3[1,11]               -8                          -1 
    39 check3[1,12]              -14                          -1 
    40 check3[1,13]              -20                          -1 
    41 check3[2,1]                 0                          -0 
    42 check3[2,2]                -1                          -0 
    43 check3[2,3]                -3                          -1 
    44 check3[2,4]                -4                          -1 
    45 check3[2,5]                -5                          -1 
    46 check3[2,6]                -6                          -1 
    47 check3[2,7]               -11                          -1 
    48 check3[2,8]               -12                          -1 
    49 check3[2,9]               -32                          -1 
    50 check3[2,10]               -1                          -1 
    51 check3[2,11]               -7                          -1 
    52 check3[2,12]              -13                          -1 
    53 check3[2,13]              -19                          -1 
    54 check3[3,1]                 0                          -0 
    55 check3[3,2]                -1                          -0 
    56 check3[3,3]                -4                          -0 
    57 check3[3,4]                -1                          -1 
    58 check3[3,5]                -2                          -1 
    59 check3[3,6]                -3                          -1 
    60 check3[3,7]                -8                          -1 
    61 check3[3,8]                -9                          -1 
