Problem:    floorplan1
Rows:       289
Columns:    153 (153 integer, 136 binary)
Non-zeros:  1049
Status:     INTEGER NON-OPTIMAL
Objective:  obj = 20 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 obj                        20                             
     2 check1[1]                   0                         152 
     3 check1[2]                  66                         149 
     4 check1[3]                  20                         156 
     5 check1[4]                  37                         143 
     6 check1[5]                   0                         154 
     7 check1[6]                  37                         147 
     8 check1[7]                  48                         154 
     9 check1[8]                  80                         149 
    10 check2[1]                 -20                          -4 
    11 check2[2]                 -12                          -6 
    12 check2[3]                 -20                          -4 
    13 check2[4]                 -20                          -6 
    14 check2[5]                 -16                          -4 
    15 check2[6]                 -10                          -6 
    16 check2[7]                 -14                          -4 
    17 check2[8]                  -6                          -6 
    18 check3[1,1]                 0                          -0 
    19 check3[1,2]              -132                         -20 
    20 check3[1,3]               -20                         -20 
    21 check3[1,4]               -37                         -20 
    22 check3[1,5]               -66                         -20 
    23 check3[1,6]               -37                         -20 
    24 check3[1,7]              -114                         -20 
    25 check3[1,8]              -146                         -20 
    26 check3[2,1]                 0                          -0 
    27 check3[2,2]              -132                          -0 
    28 check3[2,3]               -86                         -23 
    29 check3[2,4]               -37                         -23 
    30 check3[2,5]               -66                         -23 
    31 check3[2,6]               -37                         -23 
    32 check3[2,7]               -48                         -23 
    33 check3[2,8]               -80                         -23 
    34 check3[3,1]                 0                          -0 
    35 check3[3,2]               -66                          -0 
    36 check3[3,3]               -20                          -0 
    37 check3[3,4]               -17                         -16 
    38 check3[3,5]               -46                         -16 
    39 check3[3,6]               -17                         -16 
    40 check3[3,7]               -94                         -16 
    41 check3[3,8]              -126                         -16 
    42 check3[4,1]                 0                          -0 
    43 check3[4,2]              -132                          -0 
    44 check3[4,3]               -20                          -0 
    45 check3[4,4]               -37                          -0 
    46 check3[4,5]               -29                         -29 
    47 check3[4,6]               -66                         -29 
    48 check3[4,7]               -77                         -29 
    49 check3[4,8]               -43                         -29 
    50 check3[5,1]                 0                          -0 
    51 check3[5,2]              -132                          -0 
    52 check3[5,3]               -20                          -0 
    53 check3[5,4]               -37                          -0 
    54 check3[5,5]                 0                          -0 
    55 check3[5,6]               -37                         -18 
    56 check3[5,7]               -48                         -18 
    57 check3[5,8]              -146                         -18 
    58 check3[6,1]                 0                          -0 
    59 check3[6,2]              -132                          -0 
    60 check3[6,3]               -20                          -0 
    61 check3[6,4]               -37                          -0 
    62 check3[6,5]                 0                          -0 
    63 check3[6,6]               -37                          -0 
    64 check3[6,7]              -143                         -25 
    65 check3[6,8]               -43                         -25 
    66 check3[7,1]                 0                          -0 
    67 check3[7,2]              -132                          -0 
    68 check3[7,3]               -20                          -0 
    69 check3[7,4]               -37                          -0 
    70 check3[7,5]                 0                          -0 
    71 check3[7,6]               -37                          -0 
    72 check3[7,7]               -48                          -0 
    73 check3[7,8]               -32                         -18 
    74 check3[8,1]                 0                          -0 
    75 check3[8,2]              -132                          -0 
    76 check3[8,3]               -20                          -0 
    77 check3[8,4]               -37                          -0 
    78 check3[8,5]                 0                          -0 
    79 check3[8,6]               -37                          -0 
    80 check3[8,7]               -48                          -0 
    81 check3[8,8]              -146                          -0 
    82 check4[1,1]                 0           -66               
    83 check4[1,2]                 0           -43               
    84 check4[1,3]               -20           -50               
    85 check4[1,4]               -37           -37               
    86 check4[1,5]                66           -48               
    87 check4[1,6]               -37           -41               
    88 check4[1,7]                18           -48               
    89 check4[1,8]               -14           -43               
    90 check4[2,1]                 0           -66               
    91 check4[2,2]                 0           -66               
    92 check4[2,3]                46           -50               
    93 check4[2,4]               -37           -37               
    94 check4[2,5]                66           -48               
    95 check4[2,6]               -37           -41               
    96 check4[2,7]               -48           -48               
    97 check4[2,8]                52           -43               
    98 check4[3,1]                 0           -66               
    99 check4[3,2]               -66           -66               
   100 check4[3,3]               -20           -66               
   101 check4[3,4]               -17           -37               
   102 check4[3,5]               -46           -48               
   103 check4[3,6]               -17           -41               
   104 check4[3,7]                38           -48               
   105 check4[3,8]                 6           -43               
   106 check4[4,1]                 0           -66               
   107 check4[4,2]                 0           -66               
   108 check4[4,3]               -20           -66               
   109 check4[4,4]               -37           -66               
   110 check4[4,5]               -29           -48               
   111 check4[4,6]                66           -41               
   112 check4[4,7]                55           -48               
