c Problem:    floorplan1
c Rows:       289
c Columns:    153
c Non-zeros:  1049
c Status:     INTEGER NON-OPTIMAL
c Objective:  obj = 20 (MINimum)
c
s mip 289 153 f 20
i 1 20
i 2 0
i 3 66
i 4 20
i 5 37
i 6 0
i 7 37
i 8 48
i 9 80
i 10 -20
i 11 -12
i 12 -20
i 13 -20
i 14 -16
i 15 -10
i 16 -14
i 17 -6
i 18 0
i 19 -132
i 20 -20
i 21 -37
i 22 -66
i 23 -37
i 24 -114
i 25 -146
i 26 0
i 27 -132
i 28 -86
i 29 -37
i 30 -66
i 31 -37
i 32 -48
i 33 -80
i 34 0
i 35 -66
i 36 -20
i 37 -17
i 38 -46
i 39 -17
i 40 -94
i 41 -126
i 42 0
i 43 -132
i 44 -20
i 45 -37
i 46 -29
i 47 -66
i 48 -77
i 49 -43
i 50 0
i 51 -132
i 52 -20
i 53 -37
i 54 0
i 55 -37
i 56 -48
i 57 -146
i 58 0
i 59 -132
i 60 -20
i 61 -37
i 62 0
i 63 -37
i 64 -143
i 65 -43
i 66 0
i 67 -132
i 68 -20
i 69 -37
i 70 0
i 71 -37
i 72 -48
i 73 -32
i 74 0
i 75 -132
i 76 -20
i 77 -37
i 78 0
i 79 -37
i 80 -48
i 81 -146
i 82 0
i 83 0
i 84 -20
i 85 -37
i 86 66
i 87 -37
i 88 18
i 89 -14
i 90 0
i 91 0
i 92 46
i 93 -37
i 94 66
i 95 -37
i 96 -48
i 97 52
i 98 0
i 99 -66
i 100 -20
i 101 -17
i 102 -46
i 103 -17
i 104 38
i 105 6
i 106 0
i 107 0
i 108 -20
i 109 -37
i 110 -29
i 111 66
i 112 55
i 113 -43
i 114 0
i 115 0
i 116 -20
i 117 -37
i 118 0
i 119 -37
i 120 -48
i 121 -14
i 122 0
i 123 0
i 124 -20
i 125 -37
i 126 0
i 127 -37
i 128 -11
i 129 -43
i 130 0
i 131 0
i 132 -20
i 133 -37
i 134 0
i 135 -37
i 136 -48
i 137 -32
i 138 0
i 139 0
i 140 -20
i 141 -37
i 142 0
i 143 -37
i 144 -48
i 145 -14
i 146 0
i 147 58
i 148 0
i 149 0
i 150 62
i 151 -10
i 152 60
i 153 52
i 154 0
i 155 58
i 156 8
i 157 -58
i 158 4
i 159 -68
i 160 -64
i 161 60
i 162 0
i 163 -8
i 164 0
i 165 0
i 166 -70
i 167 -10
i 168 60
i 169 52
i 170 0
i 171 58
i 172 0
i 173 0
i 174 -70
i 175 56
i 176 60
i 177 -14
i 178 0
i 179 58
i 180 0
i 181 0
i 182 -4
i 183 -6
i 184 -2
i 185 56
i 186 0
i 187 58
i 188 0
i 189 0
i 190 -4
i 191 -10
i 192 4
i 193 -4
i 194 0
i 195 58
i 196 0
i 197 0
i 198 -4
i 199 -10
i 200 -6
i 201 -8
i 202 0
i 203 58
i 204 0
i 205 0
i 206 -4
i 207 -10
i 208 -6
i 209 52
i 210 0
i 211 -74
i 212 0
i 213 0
i 214 -70
i 215 -10
i 216 -72
i 217 -80
i 218 0
i 219 -74
i 220 -124
i 221 -58
i 222 -128
i 223 -68
i 224 -64
i 225 -72
i 226 0
i 227 -8
i 228 0
i 229 0
i 230 -70
i 231 -10
i 232 -72
i 233 -80
i 234 0
i 235 -74
i 236 0
i 237 0
i 238 -70
i 239 -76
i 240 -72
i 241 -14
i 242 0
i 243 -74
i 244 0
i 245 0
i 246 -4
i 247 -6
i 248 -2
i 249 -76
i 250 0
i 251 -74
i 252 0
i 253 0
i 254 -4
i 255 -10
i 256 -128
i 257 -4
i 258 0
i 259 -74
i 260 0
i 261 0
i 262 -4
i 263 -10
i 264 -6
i 265 -8
i 266 0
i 267 -74
i 268 0
i 269 0
i 270 -4
i 271 -10
i 272 -6
i 273 -80
i 274 0
i 275 66
i 276 20
i 277 37
i 278 0
i 279 37
i 280 48
i 281 80
i 282 0
i 283 8
i 284 0
i 285 0
i 286 4
i 287 10
i 288 6
i 289 14
j 1 0
j 2 66
j 3 20
j 4 37
j 5 0
j 6 37
j 7 48
j 8 80
j 9 0
j 10 8
j 11 0
j 12 0
j 13 4
j 14 10
j 15 6
j 16 14
j 17 0
j 18 0
j 19 0
j 20 0
j 21 0
j 22 0
j 23 0
j 24 0
j 25 0
j 26 0
j 27 0
j 28 0
j 29 0
j 30 0
j 31 0
j 32 0
j 33 0
j 34 0
j 35 1
j 36 1
j 37 1
j 38 1
j 39 1
j 40 0
j 41 0
j 42 0
j 43 0
j 44 0
j 45 1
j 46 0
j 47 0
j 48 0
j 49 0
j 50 0
j 51 0
j 52 0
j 53 1
j 54 0
j 55 0
j 56 0
j 57 0
j 58 0
j 59 0
j 60 0
j 61 0
j 62 0
j 63 0
j 64 0
j 65 0
j 66 0
j 67 0
j 68 0
j 69 0
j 70 0
j 71 1
j 72 0
j 73 0
j 74 0
j 75 0
j 76 0
j 77 0
j 78 0
j 79 0
j 80 0
j 81 0
j 82 0
j 83 0
j 84 0
j 85 0
j 86 0
j 87 0
j 88 0
j 89 0
j 90 1
j 91 0
j 92 0
j 93 1
j 94 0
j 95 1
j 96 1
j 97 0
j 98 1
j 99 1
j 100 0
j 101 1
j 102 0
j 103 0
j 104 1
j 105 0
j 106 0
j 107 0
j 108 0
j 109 0
j 110 0
j 111 1
j 112 1
j 113 0
j 114 1
j 115 0
j 116 0
j 117 0
j 118 1
j 119 1
j 120 0
j 121 0
j 122 1
j 123 0
j 124 0
j 125 0
j 126 0
j 127 0
j 128 1
j 129 0
j 130 1
j 131 0
j 132 0
j 133 0
j 134 0
j 135 1
j 136 0
j 137 0
j 138 1
j 139 0
j 140 0
j 141 0
j 142 0
j 143 0
j 144 0
j 145 0
j 146 1
j 147 0
j 148 0
j 149 0
j 150 0
j 151 0
j 152 1
j 153 20
e o f
